IRGC_ID,COUNTRY,LAT,LON,bdodmean,cecmean,cfvomean,claymean,nitrogenmean,phh2omean,sandmean,siltmean,socmean,ocdmean,T_ESP,T_ECE,S_ESP,S_ECE,pawc,moist
IRIS_313-12005,Malaysia,2.03028,109.6425,1.15,13.9,13.6,40.2,0.8,5.4,33.7,26.1,31.7,8.7,3,0.1,6,0.1,257.947998,80
IRIS_313-12007,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-12009,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-12010,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-12011,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-12012,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-12013,India,21.12778,82.80056,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRIS_313-12027,Indonesia,3,98.33333,1.03,16.7,10.1,43.3,1.76,5,33.6,23.1,42,8.9,1,0.1,2,0.1,241.8800049,110
IRIS_313-12028,Laos,20.49194,101.88889,1.17,18,29.5,36.2,1.53,5.4,28.8,35.1,11.5,7.9,1,0.1,2,0.1,249.1390076,62
IRIS_313-12036,Cambodia,13.85111,106.15528,1.33,18.1,11.9,35.9,0.85,5.9,31.4,32.8,7,14.3,2,0.1,1,0.1,229.7149963,110
IRIS_313-12037,Cambodia,11.36444,104.10306,1.3,16.1,23.6,36.4,0.68,5.4,28.9,34.7,7.5,8.6,1,0.1,2,0.1,229.7149963,110
IRIS_313-12038,Cambodia,11.19333,105.89194,1.34,18.8,7,33.2,1.8,5.5,23,43.9,31.9,11,3,0.1,2,0.1,235.371994,98
IRIS_313-12039,Cambodia,12.92222,103.12306,1.49,13.2,20.8,32.4,0.51,6.4,36.8,30.8,3.5,7,1,0.1,2,0.1,228.7949982,146
IRIS_313-12040,Cambodia,11.84972,106.11639,1.35,15.4,17.2,42.8,0.59,5.4,29.6,27.6,5.5,6.6,1,0.1,2,0.1,209.7740021,52
IRIS_313-12041,Cambodia,11.19333,105.89194,1.34,18.8,7,33.2,1.8,5.5,23,43.9,31.9,11,3,0.1,2,0.1,235.371994,98
IRIS_313-12042,Cambodia,12.04944,105.64333,1.39,16.3,14.5,42.2,0.52,5.5,25.7,32.1,4,7.6,2,0.1,2,0.1,228.6210022,200
IRIS_313-12043,Cambodia,10.78861,104.32167,1.38,17,14.4,33.9,1.16,5.6,33.4,32.7,6.5,9.1,3,0.1,2,0.1,249.1390076,62
IRIS_313-12044,Cambodia,11.36444,105.45667,1.41,19.3,8,27.3,1.71,5.5,30.9,41.8,12.8,14.2,2,0.1,2,0.1,228.6210022,200
